radio,mcc,mnc,area,cid,lon,lat,range
GSM,605,1,22201,17856,10.742226,36.462936,1000
GSM,605,1,22201,17806,10.742568969727001,36.462936401367,1000
GSM,605,1,22201,17805,10.742568969727001,36.462936401367,1000
UMTS,605,1,22201,148924,10.746978,36.461238,1000
UMTS,605,1,22201,148927,10.746803,36.461563,1000
UMTS,605,1,22201,148888,10.746688842772999,36.456069946289,1000
UMTS,605,1,22201,148824,10.746688842772999,36.457443237305,1000
GSM,605,1,22201,17802,10.743942,36.461563,1000
GSM,605,1,22201,17834,10.741195678711,36.462936401367,1000
GSM,605,1,22201,17873,10.741195678711,36.462936401367,1000
GSM,605,1,22201,17871,10.741195678711,36.462936401367,1000
GSM,605,1,22201,17835,10.741195678711,36.462936401367,1000
UMTS,605,1,22201,148874,10.745315551758,36.462936401367,1000
UMTS,605,1,22201,148877,10.746002,36.46328,1000
UMTS,605,1,22201,148828,10.740509,36.455727,1000
UMTS,605,1,22201,148863,10.738253,36.45352000000001,1000
UMTS,605,1,22201,148866,10.7379,36.453873,1000
UMTS,605,1,22201,151053,10.73844909668,36.453323364258,1000
GSM,605,1,33301,27583,8.703308,36.169586,2650
GSM,605,1,33301,27592,8.69688,36.159611,1388
UMTS,605,1,33301,7367621,8.704834,36.171341,1000
UMTS,605,1,55201,32876152,10.800372,35.777789,1000
UMTS,605,1,55201,32876070,10.80263,35.7752,1000
UMTS,605,1,55201,32876067,10.803251,35.774746,1000
UMTS,605,1,55201,32876149,10.801915,35.77786,1000
GSM,605,1,55201,42616,10.802993774414,35.77766418457,1000
UMTS,605,1,55601,33549561,10.476150512695,33.364791870117,1000
UMTS,605,1,55601,33549570,10.47691,33.365171999999994,1449
UMTS,605,1,55601,33549566,10.476150512695,33.364791870117,1000
UMTS,605,1,55601,33549558,10.479236,33.359487,2306
UMTS,605,1,55601,33549575,10.476150512695,33.364791870117,1000
UMTS,605,1,55601,33549567,10.476150512695,33.364791870117,1000
UMTS,605,1,55601,33549569,10.476150512695,33.364791870117,1000
UMTS,605,1,55601,33549576,10.476150512695,33.364791870117,1000
UMTS,605,1,55601,33549572,10.476150512695,33.364791870117,1000
UMTS,605,1,55601,33549541,10.49288,33.344484,1000
UMTS,605,1,55601,33549538,10.494003,33.344120000000004,1000
UMTS,605,1,55601,33549579,10.48954,33.361015,1000
GSM,605,1,55601,60671,10.476150512695,33.364791870117,1000
UMTS,605,1,55601,33549517,10.47791,33.35947,2228
UMTS,605,1,22101,7355464,9.823641,37.25748400000001,1312
UMTS,605,1,22101,7355234,9.830246,37.253495,1170
UMTS,605,1,22101,7355237,9.833965,37.252064,1535
UMTS,605,1,22101,7355467,9.827859,37.254737,1000
UMTS,605,1,10012,7274658,10.190505981445,36.821365356445,1000
UMTS,605,1,10014,7282299,10.106735229492001,36.836471557617,1000
UMTS,605,1,10014,7282302,10.106735,36.836334,1000
UMTS,605,1,10014,7283078,10.106735229492001,36.836471557617,1000
UMTS,605,1,10014,7283079,10.113144,36.839676,1000
UMTS,605,1,10014,7287375,10.024815,36.821306,1000
UMTS,605,1,10014,7287372,10.024337768555,36.821365356445,1000
UMTS,605,1,10014,7287369,10.024337768555,36.821365356445,1000
GSM,605,1,10014,12873,10.024337768555,36.821365356445,1000
GSM,605,1,10011,472,10.142440795898,36.826858520508,1000
GSM,605,1,22201,18642,10.447311,36.398117,1453
UMTS,605,1,22201,148755,10.451431274414,36.399765014648,1000
GSM,605,1,10004,10082,10.266037,36.801529,1347
GSM,605,1,10012,8312,10.225536,36.825493,4376
GSM,605,1,10004,10403,10.268361,36.806576,2296
GSM,605,1,10004,10081,10.26384,36.802414,1000
GSM,605,1,10004,10083,10.261765,36.80397,1712
GSM,605,1,10004,2321,10.259465,36.808319,1793
GSM,605,1,10004,10401,10.278397,36.81038,3275
GSM,605,1,10004,10402,10.277024,36.806947,3027
GSM,605,1,10005,10453,10.270159,36.801552,4200
GSM,605,1,10005,10451,10.274277,36.784744,1000
GSM,605,1,10005,10452,10.274277,36.78520200000001,1000
GSM,605,1,10005,10454,10.273178,36.790604,1000
GSM,605,1,10005,10383,10.269474,36.793386,5199
GSM,605,1,10005,10836,10.265586,36.797563,4621
GSM,605,1,10005,10355,10.248184,36.733475,1000
GSM,605,1,10013,10131,10.250930786132999,36.726608276367,1000
GSM,605,1,10005,10185,10.250930786132999,36.726608276367,1000
GSM,605,1,10005,10232,10.245438,36.728439,1000
GSM,605,1,22202,19931,10.43152,36.60988,1603
GSM,605,1,22202,18263,10.415725708007999,36.616744995117,1000
GSM,605,1,22202,18261,10.415725708007999,36.616744995117,1000
GSM,605,1,22202,17976,10.415725708007999,36.616744995117,1000
GSM,605,1,22202,18273,10.569534301757999,36.473922729492,1000
GSM,605,1,22202,18272,10.567474,36.46019,1538
GSM,605,1,22202,18265,10.569534301757999,36.473922729492,1000
GSM,605,1,55401,48373,10.146560668945,35.806503295898,1000
GSM,605,1,44101,32613,10.059233,35.81295,19490
GSM,605,1,44101,32523,10.146560668945,35.806503295898,1000
GSM,605,1,55401,48371,10.146560668945,35.806503295898,1000
GSM,605,1,33011,21205,10.158888,36.174089,40889
GSM,605,1,22202,17613,10.570909,36.426544,2268
GSM,605,1,22202,17713,10.565414,36.46980300000001,2596
GSM,605,1,22202,17651,10.565414428711,36.44645690918,1000
GSM,605,1,22202,17711,10.565414428711,36.44645690918,1000
GSM,605,1,22202,18073,10.447311401367001,36.603012084961,1000
GSM,605,1,22202,17893,10.447311401367001,36.603012084961,1000
GSM,605,1,22202,20011,10.447311401367001,36.603012084961,1000
GSM,605,1,22202,18061,10.447311401367001,36.603012084961,1000
GSM,605,1,22202,18363,10.447311401367001,36.603012084961,1000
GSM,605,1,10013,10633,10.286636352539,36.708755493164,1000
GSM,605,1,10013,10632,10.286636352539,36.708755493164,1000
GSM,605,1,10013,10631,10.286636352539,36.708755493164,1000
GSM,605,1,10013,10061,10.286636352539,36.708755493164,1000
GSM,605,1,10005,10386,10.266446,36.79470900000001,4800
GSM,605,1,10004,10391,10.281143188477,36.802139282227,1000
GSM,605,1,10004,652,10.281143188477,36.802139282227,1000
GSM,605,1,10004,292,10.294876098632999,36.815872192383,1000
GSM,605,1,10004,592,10.299682,36.819992,1000
GSM,605,1,10004,462,10.313194,36.784059,7627
GSM,605,1,10002,1282,10.328763,36.761858,6722
GSM,605,1,10013,10153,10.29899597168,36.813125610352,1000
GSM,605,1,10005,10831,10.283884,36.785661,3044
GSM,605,1,10005,10833,10.293501,36.791153,2116
GSM,605,1,10004,463,10.299683,36.818619,1085
GSM,605,1,10014,7941,10.186745,36.840953000000006,10835
GSM,605,1,10005,10281,10.266036987305,36.804885864258,1000
UMTS,605,1,10015,7275138,10.112314,36.811237,1000
UMTS,605,1,10015,7287141,10.112353,36.811253,1000
UMTS,605,1,10015,7287111,10.111885,36.811581,1000
UMTS,605,1,10015,7287138,10.112104,36.812002,1000
UMTS,605,1,10015,7275141,10.112228,36.811651,1000
UMTS,605,1,10015,7287108,10.066965,36.904458,11067
GSM,605,1,10015,645,10.112228393555,36.811752319336,1000
UMTS,605,1,10011,7275119,10.112228393555,36.811752319336,1000
GSM,605,1,10014,7832,10.112228393555,36.811752319336,1000
GSM,605,1,55701,57542,10.069017,33.889174,2345
GSM,605,1,55701,57611,10.068008,33.889114,1415
UMTS,605,1,10011,7275122,10.112228393555,36.811752319336,1000
UMTS,605,1,10011,7275134,10.112572,36.812096,1000
UMTS,605,1,10014,7282334,10.112228393555,36.811752319336,1000
UMTS,605,1,10014,7282331,10.112228393555,36.811752319336,1000
UMTS,605,1,10014,7282328,10.112228393555,36.811752319336,1000
GSM,605,1,22101,15562,9.38145,37.043215,2177
GSM,605,1,22101,15573,9.364334,37.038895,1000
GSM,605,1,22101,15561,9.366074,37.039719,1000
GSM,605,1,22101,13551,9.3596649169922,37.034225463867,1000
UMTS,605,1,22011,7365368,8.6936187744141,36.773300170898,1000
GSM,605,1,10015,12675,9.893585,36.674569,5659
UMTS,605,1,10015,7287242,9.979265,36.718495,7407
UMTS,605,1,10015,7287312,9.93166,36.692277,5801
UMTS,605,1,10015,7287310,9.959561,36.704837,7249
UMTS,605,1,10015,7275952,10.024315,36.740812,6859
GSM,605,1,10015,17922,9.9694061279297,36.71012878418,1000
GSM,605,1,55701,57545,10.067962,33.889234,5482
GSM,605,1,55701,57614,10.066888,33.884266,3450
GSM,605,1,55701,57524,10.080031,33.887096,1879
GSM,605,1,55701,57652,10.06773,33.885697,2101
GSM,605,1,55701,57543,10.065204,33.901111,3928
GSM,605,1,55701,57566,10.088784,33.884357,1522
GSM,605,1,55701,57636,10.07052,33.89245,5917
UMTS,605,1,10011,7276429,10.139694213867001,36.81037902832,1000
UMTS,605,1,10011,7276428,10.139694,36.810436,1000
UMTS,605,1,10011,7276432,10.139694,36.81046,1000
UMTS,605,1,10011,7275590,10.139008,36.809692,1000
UMTS,605,1,10015,7287277,9.83345,36.836929,1000
UMTS,605,1,10015,7287279,9.827499,36.841507,1000
UMTS,605,1,10004,67308,10.268454,36.861685,1205
UMTS,605,1,10004,66202,10.226212,36.832466,1000
UMTS,605,1,10004,66199,10.226212,36.833038,1000
UMTS,605,1,10004,67360,10.226212,36.833725,1000
GSM,605,1,10004,673,10.226211547852,36.833724975586,1000
GSM,605,1,10004,863,10.226211547852,36.835098266602,1000
UMTS,605,1,10004,67357,10.225525,36.835098,1000
UMTS,605,1,10012,7283068,10.214539,36.835327,1000
UMTS,605,1,10012,50594049,10.17634,36.845651,3374
UMTS,605,1,10014,7282427,10.153955,36.845345,1137
UMTS,605,1,10014,7282430,10.153427124023,36.846084594727,1000
UMTS,605,1,10014,7282432,10.153427124023,36.846084594727,1000
UMTS,605,1,10014,7283170,10.15892,36.846909,1000
UMTS,605,1,10012,7282808,10.175125,36.847458,1320
UMTS,605,1,10012,7275282,10.178002,36.845434,1178
UMTS,605,1,10012,7282811,10.179813,36.846377,8458
UMTS,605,1,10012,7275941,10.179977,36.845627,1000
UMTS,605,1,10012,7282810,10.177322,36.84993,1000
UMTS,605,1,10012,7282132,10.17746,36.851921,1000
UMTS,605,1,10012,7283158,10.178513,36.851028,1000
UMTS,605,1,10012,7282807,10.178146,36.849175,1000
UMTS,605,1,10012,7275939,10.175235,36.844272,1199
UMTS,605,1,10012,7282134,10.183029,36.846339,1000
UMTS,605,1,10012,7275278,10.181176,36.835785,1346
UMTS,605,1,10012,7275307,10.181837,36.832352,1000
UMTS,605,1,10012,7275308,10.180554,36.828979,1000
UMTS,605,1,10012,7276159,10.180781,36.82632,1000
UMTS,605,1,10001,66217,10.178266,36.82256,1000
UMTS,605,1,10001,66220,10.179245,36.82164,1000
UMTS,605,1,10001,66221,10.181168,36.820358,1000
UMTS,605,1,10012,7282129,10.176086,36.852951,1000
GSM,605,1,10001,685,10.183639526367001,36.817245483398,1000
UMTS,605,1,10001,66803,10.183639526367001,36.817245483398,1000
UMTS,605,1,10001,66078,10.186234,36.809769,1877
UMTS,605,1,10001,66798,10.182724,36.809006,1000
UMTS,605,1,10001,66387,10.183182,36.806717,1000
UMTS,605,1,10001,67247,10.185012817382999,36.809005737305,1000
UMTS,605,1,10001,67248,10.18462,36.805867,1000
UMTS,605,1,10001,72767,10.186901,36.802826,1000
UMTS,605,1,10001,66949,10.184189,36.802414,1000
UMTS,605,1,10001,66391,10.182124,36.803702,1000
UMTS,605,1,10012,7282470,10.171623,36.845055,1000
UMTS,605,1,10012,7284510,10.168834,36.844497,1000
UMTS,605,1,22101,7355266,9.819489,37.030792,1000
UMTS,605,1,22101,7355271,9.608917,37.062035,1000
UMTS,605,1,22101,7355345,9.594204,37.069931,1000
UMTS,605,1,22101,7355257,9.559364,37.087784,1543
UMTS,605,1,22101,7355253,9.5574188232422,37.087783813477,1000
UMTS,605,1,22101,7355254,9.550003,37.086411,1000
UMTS,605,1,22101,7355256,9.528474,37.081552,3253
UMTS,605,1,22101,7355258,9.500188,37.070887,1861
UMTS,605,1,22101,7355690,9.279035,37.054629,2618
UMTS,605,1,22101,7355687,9.281648,37.05148300000001,2215
UMTS,605,1,22101,7355685,9.155393,37.074641,4553
UMTS,605,1,22101,7355691,9.1948699951172,37.072677612305,1000
UMTS,605,1,22101,7355931,9.109442,37.039588,2773
UMTS,605,1,22011,7365193,9.156418,37.019119,1000
UMTS,605,1,55701,33546452,9.999619,33.960579,3842
UMTS,605,1,55701,33546449,9.998245,33.960114000000004,1000
UMTS,605,1,10012,7282763,10.172653198242001,36.916122436523,1000
UMTS,605,1,10005,75780,10.242691040039,36.771926879883,1000
UMTS,605,1,55601,33549674,11.182594,33.136826,1000
UMTS,605,1,22101,7355668,9.9611663818359,37.111129760742,1000
UMTS,605,1,22101,7355488,9.9611663818359,37.111129760742,1000
UMTS,605,1,22101,7355134,9.959793,37.11113,1000
UMTS,605,1,22101,7357539,9.958616,37.11113,1000
UMTS,605,1,10001,73421,10.222091674805,36.859817504883,1000
UMTS,605,1,10001,73431,10.222091674805,36.859817504883,1000
GSM,605,1,22201,17973,10.576400756836,36.57829284668,1000
GSM,605,1,22201,17892,10.577087,36.578293,1000
UMTS,605,1,10011,7274801,10.156272,36.7939,2092
UMTS,605,1,10002,67799,10.261917114257999,36.846084594727,1000
UMTS,605,1,10012,7283050,10.211792,36.872177,1000
UMTS,605,1,10002,66501,10.283203,36.864624,1000
UMTS,605,1,10002,67832,10.282516479492001,36.86393737793,1000
UMTS,605,1,10001,66801,10.182855,36.809006,1000
UMTS,605,1,10001,66390,10.180892944336,36.809005737305,1000
UMTS,605,1,10001,66802,10.180892944336,36.811752319336,1000
UMTS,605,1,10001,67210,10.17952,36.815186,1000
UMTS,605,1,10011,7275591,10.139694,36.807861,1000
UMTS,605,1,10011,7275588,10.140381,36.807404,1000
UMTS,605,1,10011,7276427,10.143127,36.811752,1000
UMTS,605,1,10011,7276278,10.143814086914,36.817245483398,1000
UMTS,605,1,10011,7275379,10.143356,36.819077,1000
UMTS,605,1,10012,7275922,10.163726,36.833954,2556
UMTS,605,1,10012,7276160,10.185837,36.828232,1000
UMTS,605,1,10012,7274811,10.186386108398,36.830978393555,1000
UMTS,605,1,10012,7275281,10.184326,36.833038,1000
UMTS,605,1,10012,7274809,10.191765,36.829491,1000
UMTS,605,1,10012,7275512,10.197222,36.837938,1000
UMTS,605,1,10012,7274812,10.193252563477,36.835098266602,1000
UMTS,605,1,10012,7275509,10.195312,36.836472,1000
UMTS,605,1,55201,32876581,10.739822387695,35.578536987305,1000
UMTS,605,1,55201,32876582,10.739822387695,35.578536987305,1000
UMTS,605,1,55201,32876579,10.737075805664,35.57991027832,1000
UMTS,605,1,55301,33534864,10.749436,34.863739,1000
UMTS,605,1,55301,33534863,10.761108,34.851379,1000
UMTS,605,1,55301,33534619,10.764541625977001,34.839706420898,1000
UMTS,605,1,22101,7355836,9.867668,37.295723,1000
UMTS,605,1,10003,73657,10.258713,36.882935,1000
UMTS,605,1,10003,73660,10.257797,36.882706,1000
UMTS,605,1,10012,7282780,10.193252563477,36.896896362305,1000
UMTS,605,1,10003,74010,10.191879272461,36.896896362305,1000
UMTS,605,1,10012,7282020,10.191879272461,36.896896362305,1000
UMTS,605,1,10001,75727,10.233078,36.740685,1000
UMTS,605,1,22101,7355545,9.869156,37.270432,1000
UMTS,605,1,22101,7355548,9.868813,37.271118,1000
UMTS,605,1,22101,7355187,9.869843,37.276612,1000
UMTS,605,1,55201,32876578,10.739822387695,35.578536987305,1000
UMTS,605,1,22101,7355376,9.865512,37.303671,1591
UMTS,605,1,22101,7355373,9.865494,37.304214,2657
UMTS,605,1,22101,7355078,9.8870086669922,37.264938354492,1000
UMTS,605,1,22101,7355073,9.901658,37.25647,1457
UMTS,605,1,10012,7274660,10.190505981445,36.815872192383,1000
UMTS,605,1,10001,65732,10.186844,36.800766,1000
UMTS,605,1,10001,65730,10.189819,36.798019,1000
UMTS,605,1,10001,65731,10.188348,36.79488,1000
UMTS,605,1,10001,65728,10.186703,36.793477,1000
UMTS,605,1,10001,66690,10.187857,36.790798,1512
UMTS,605,1,10012,7282790,10.202176,36.843338,5645
UMTS,605,1,10012,7282106,10.202865600586,36.861190795898,1000
UMTS,605,1,10014,7282089,10.124274,36.897532,8074
UMTS,605,1,10014,7282087,10.120125,36.904106,1895
UMTS,605,1,10014,7282092,10.111854,36.901552,13316
UMTS,605,1,10014,7282569,10.122757,36.900101,1000
UMTS,605,1,10014,7282572,10.121841,36.901291,1000
UMTS,605,1,10014,7282571,10.121841430664,36.899642944336,1000
UMTS,605,1,10014,7282090,10.124313,36.90239,1000
UMTS,605,1,22101,7355448,9.917221,37.247773,1000
UMTS,605,1,22101,7355076,9.896165,37.259903,1419
UMTS,605,1,22101,7355075,9.883804,37.267227,1000
UMTS,605,1,22101,7355543,9.872074,37.27335,1000
UMTS,605,1,22101,7355061,9.874924,37.277298,1000
UMTS,605,1,22101,7355062,9.876022,37.275238,1000
UMTS,605,1,22101,7355072,9.877396,37.277298,1000
GSM,605,1,22101,15592,9.871902,37.285995,1000
UMTS,605,1,22101,7355377,9.86586,37.301193,1000
UMTS,605,1,22101,7355542,9.870186,37.271805,1000
UMTS,605,1,22101,7355546,9.871902,37.270889,1000
UMTS,605,1,22101,7355833,9.867408,37.29565,1000
UMTS,605,1,22101,7355547,9.870072,37.278214,1894
GSM,605,1,22101,15512,9.870099,37.264487,3462
UMTS,605,1,22101,7355544,9.868698,37.277756,1936
UMTS,605,1,22101,7355834,9.865723,37.280045,1259
UMTS,605,1,55301,33535561,10.759048,34.746323,1000
UMTS,605,1,55301,33535560,10.759598,34.744949,1000
UMTS,605,1,22101,7355626,9.868813,37.292404,1000
UMTS,605,1,22101,7355374,9.866409,37.300186,1000
UMTS,605,1,22101,7355197,9.865037,37.307968,1798
UMTS,605,1,22101,7355194,9.8609161376953,37.31575012207,1000
UMTS,605,1,22101,7355142,9.865725,37.302704,2607
UMTS,605,1,22101,7355196,9.867097,37.306824,2555
UMTS,605,1,22101,7355451,9.894663,37.253756,6059
UMTS,605,1,22101,7355622,9.868698,37.290344,1000
UMTS,605,1,10002,65649,10.309394,36.869431,1000
UMTS,605,1,10002,65652,10.309982000000002,36.86965900000001,1000
UMTS,605,1,10013,133304,10.180892944336,36.706008911133,1000
GSM,605,1,10013,1043,10.180892944336,36.706008911133,1000
GSM,605,1,10013,1046,10.180893,36.706696,1000
GSM,605,1,10013,10336,10.180892944336,36.706008911133,1000
UMTS,605,1,10002,66850,10.292129516602,36.865310668945,1000
UMTS,605,1,22101,7355200,9.860917,37.325707,1498
UMTS,605,1,22101,7355193,9.8650360107422,37.329483032227,1000
UMTS,605,1,22101,7355838,9.864349,37.295837,1000
UMTS,605,1,22101,7355463,9.8691558837891,37.289657592773,1000
UMTS,605,1,22101,7355144,9.8567962646484,37.266311645508,1000
UMTS,605,1,22101,7355147,9.859543,37.266312,1000
GSM,605,1,22101,15431,9.870921,37.274748,2154
UMTS,605,1,22101,7355472,9.823249,37.258857,1947
UMTS,605,1,22101,7355672,9.828644,37.259446,1000
UMTS,605,1,22101,7355143,9.872589,37.268028,1000
GSM,605,1,22101,15801,9.868469,37.282791,1528
UMTS,605,1,10011,7275372,10.148209,36.80159,1000
UMTS,605,1,55401,32881647,10.671157836914,35.78727722168,1000
UMTS,605,1,22101,7355275,9.7730255126953,37.163314819336,1000
UMTS,605,1,22101,7355278,9.7730255126953,37.164688110352,1000
GSM,605,1,10012,322,10.194077,36.827957,1000
UMTS,605,1,33301,7367598,8.703232,36.175461,1000
UMTS,605,1,10012,7282927,10.186386108398,36.895523071289,1000
UMTS,605,1,10013,132115,10.180892944336,36.708755493164,1000
UMTS,605,1,10013,141344,10.180892944336,36.708755493164,1000
UMTS,605,1,10014,7282431,10.1548,36.844368,1000
UMTS,605,1,10014,7283169,10.154800415039,36.843338012695,1000
UMTS,605,1,10014,7282428,10.155258,36.843338,1000
UMTS,605,1,55601,33549511,10.973282,33.85952,1000
UMTS,605,1,55601,33549009,10.975113,33.858719,1000
UMTS,605,1,55601,33549508,10.974655151367,33.859176635742,1000
UMTS,605,1,22101,7355505,10.125961303711,37.212753295898,1000
UMTS,605,1,10001,65898,10.185928,36.771469,1000
UMTS,605,1,10001,66370,10.185013,36.77124,1000
UMTS,605,1,10001,65901,10.184097,36.772385,1000
UMTS,605,1,55601,33549329,10.855866,33.883896,1018
UMTS,605,1,10011,7287072,10.106277,36.802139,1000
UMTS,605,1,10011,7287069,10.107422,36.801453,1000
UMTS,605,1,10011,7287119,10.103302,36.800766,1000
UMTS,605,1,33101,7362598,9.188004,36.72884000000001,1000
UMTS,605,1,33101,7362602,9.189926,36.726608,1000
GSM,605,1,33101,22852,9.202475,36.837738,11752
GSM,605,1,33101,22923,9.0079,36.694176,25056
UMTS,605,1,10014,7282894,10.097122,36.907539,2207
GSM,605,1,55302,45593,10.491486,34.541473,1000
GSM,605,1,22202,18264,10.569534301757999,36.560440063477,1000
UMTS,605,1,55101,33539229,8.7883758544922,34.43733215332,1000
UMTS,605,1,22101,7355994,9.876251,37.278557,1000
UMTS,605,1,22101,7355055,9.874649,37.280045,1000
UMTS,605,1,55201,32876370,10.888137817383,35.647201538086,1000
UMTS,605,1,55302,33534482,10.492630004882999,34.541702270508,1000
GSM,605,1,55302,45596,10.49263,34.541016,1000
UMTS,605,1,10012,7282018,10.190267,36.873927,14570
UMTS,605,1,10013,142127,10.158234,36.67717,1000
UMTS,605,1,10011,7275959,10.127334594727,36.800765991211,1000
UMTS,605,1,55301,33534197,10.757675,34.799194,1000
UMTS,605,1,55301,33534507,10.751495,34.795761,1000
UMTS,605,1,55301,33534200,10.757675170897999,34.79850769043,1000
UMTS,605,1,55301,33534510,10.754928,34.795303000000004,1000
GSM,605,1,55202,42993,10.889511,35.658737,1000
UMTS,605,1,33301,7367583,8.715591,36.180725,1000
UMTS,605,1,10012,7282828,10.167618,36.836815,1000
UMTS,605,1,10012,7281820,10.169416,36.835491,1748
UMTS,605,1,10012,7281817,10.167618,36.836529,1000
UMTS,605,1,10012,7284427,10.172653,36.835627,1000
UMTS,605,1,55202,32878467,10.772624,35.630457,1157
UMTS,605,1,55202,32876663,10.774263,35.63086699999999,1000
UMTS,605,1,55202,32876660,10.770669,35.630909,1687
GSM,605,1,55202,43124,10.774747,35.631495,1000
UMTS,605,1,55202,32878470,10.772528,35.630798,1097
UMTS,605,1,55202,32877046,10.774374,35.631314,1000
UMTS,605,1,55202,32876668,10.775527954102001,35.63346862793,1000
UMTS,605,1,55202,32876657,10.769769,35.63023300000001,1000
UMTS,605,1,55201,32876698,10.775527954102001,35.63346862793,1000
UMTS,605,1,55201,32876627,10.775527954102001,35.63346862793,1000
UMTS,605,1,55202,32876646,10.769762,35.62999600000001,1000
UMTS,605,1,55202,32876696,10.775447,35.633469,1000
UMTS,605,1,55202,32876701,10.776443,35.633011,1000
UMTS,605,1,55202,32876671,10.775447,35.633469,1000
UMTS,605,1,55202,32876630,10.773049,35.631928,1741
GSM,605,1,55202,43072,10.776027,35.63122100000001,1000
GSM,605,1,55202,43121,10.776672,35.631237,1000
GSM,605,1,55202,43074,10.774154663086,35.629348754883,1000
GSM,605,1,55202,43123,10.763168334961,35.626602172852,1000
UMTS,605,1,55202,32876590,10.760422,35.625693,1000
GSM,605,1,55202,43132,10.775527954102001,35.63346862793,1000
UMTS,605,1,55202,32876580,10.775527954102001,35.63346862793,1000
GSM,605,1,55202,43135,10.775527954102001,35.63346862793,1000
UMTS,605,1,55202,32876662,10.762218,35.62582800000001,1000
UMTS,605,1,55202,32876587,10.760397,35.625383,1000
UMTS,605,1,55202,32876588,10.760684,35.623189,1000
UMTS,605,1,55202,32876591,10.761285,35.62377700000001,1000
UMTS,605,1,55202,32876659,10.762792,35.626154,1000
GSM,605,1,55202,43091,10.773697,35.630112,1000
GSM,605,1,55202,43094,10.770807,35.63098,1000
GSM,605,1,55202,43071,10.775748,35.632809,1000
UMTS,605,1,10012,2979820,10.174401,36.836472,1000
UMTS,605,1,10001,2100796,10.183639526367001,36.807632446289,1000
UMTS,605,1,10013,2994695,10.180892944336,36.708755493164,1000
UMTS,605,1,10013,2994699,10.180892944336,36.708755493164,1000
UMTS,605,1,55202,3001951,10.989761352539,35.621109008789,1000
UMTS,605,1,55202,3001994,10.989761352539,35.621109008789,1000
UMTS,605,1,10001,3007301,10.204239,36.834706,1000
UMTS,605,1,10001,3007327,10.204376,36.833862,1000
UMTS,605,1,10014,3010041,10.114974975586,36.914749145508,1000
UMTS,605,1,10014,3010043,10.114974975586,36.914749145508,1000
UMTS,605,1,10014,3010044,10.114974975586,36.914749145508,1000
UMTS,605,1,10014,2239736,10.114974975586,36.914749145508,1000
UMTS,605,1,22101,3012002,9.872932,37.25395200000001,1000
UMTS,605,1,22202,3044742,10.583267211914,36.406631469727,1000
UMTS,605,1,22202,3044743,10.583725,36.406631,1000
UMTS,605,1,22201,149038,10.781021,36.468601,1000
UMTS,605,1,55202,32876608,10.763321,35.628891,1000
